day_type,team,role_type,role_detail,start_time,end_time
Monday,Green,Attending,Attending,07:00,15:00
Monday,Green,Attending,Attending,15:00,23:00
Monday,Green,Attending,Attending,23:00,07:00
Monday,Green,PA,Mid-Level,07:00,19:00
Monday,Green,PA,Mid-Level,07:00,19:00
Monday,Green,PA,Mid-Level,19:00,07:00
Monday,Green,PA,Mid-Level,19:00,05:00
Monday,Green,Resident,EM1/OS,09:00,19:00
Monday,Green,Resident,EM1/OS,19:00,07:00
Monday,Red,Attending,Attending,07:00,15:00
Monday,Red,Attending,Attending,15:00,23:00
Monday,Red,Attending,Attending,23:00,07:00
Monday,Red,Resident,Senior,07:00,15:00
Monday,Red,Resident,Senior,15:00,23:00
Monday,Red,Resident,Senior,23:00,07:00
Monday,Red,Resident,EM2/3,07:00,15:00
Monday,Red,Resident,EM2/3,15:00,23:00
Monday,Red,Resident,EM2/3,23:00,07:00
Monday,Red,Resident,EM1/OS,07:00,15:00
Monday,Red,Resident,EM1/OS,15:00,23:00
Monday,Red,Resident,EM1/OS,23:00,07:00
Monday,Red,Resident,EM1/OS,07:00,15:00
Monday,Red,Resident,EM2/3,15:00,23:00
Monday,FastTrack,Attending,Attending,09:00,17:00
Monday,FastTrack,Attending,Attending,17:00,01:00
Monday,FastTrack,PA,PA-Prim,07:00,19:00
Monday,FastTrack,PA,PA-Prim,07:00,19:00
Monday,FastTrack,PA,PA-Prim,19:00,23:00
Monday,FastTrack,PA,PA-Red,19:00,07:00
Monday,FastTrack,PA,PA-Prim,11:00,23:00
Monday,FastTrack,Resident,EM3/4-Green,23:00,07:00
Monday,ERU,Attending,Attending,09:00,17:00
Monday,ERU,Attending,Attending,17:00,01:00
Monday,ERU,Resident,EM2/3,07:00,15:00
Monday,ERU,Resident,EM2/3,15:00,23:00
Monday,ERU,Resident,EM2/3,23:00,07:00
Monday,ERU,Resident,EM1,14:00,22:00
Monday,ERU,Resident,EM4,14:00,22:00
Monday,Blue,Attending,Attending,09:00,17:00
Monday,Blue,Attending,Attending,17:00,01:00
Monday,Blue,PA,Mid-Level,09:00,21:00
Monday,Blue,PA,Mid-Level,11:00,23:00
Tuesday,Green,Attending,Attending,07:00,15:00
Tuesday,Green,Attending,Attending,15:00,23:00
Tuesday,Green,Attending,Attending,23:00,07:00
Tuesday,Green,PA,Mid-Level,07:00,19:00
Tuesday,Green,PA,Mid-Level,07:00,19:00
Tuesday,Green,PA,Mid-Level,19:00,07:00
Tuesday,Green,Resident,OS,19:00,07:00
Tuesday,Green,Resident,EM1/OS,09:00,19:00
Tuesday,Green,Resident,OS,19:00,07:00
Tuesday,Red,Attending,Attending,07:00,15:00
Tuesday,Red,Attending,Attending,15:00,23:00
Tuesday,Red,Attending,Attending,23:00,07:00
Tuesday,Red,Resident,Senior,07:00,15:00
Tuesday,Red,Resident,Senior,15:00,23:00
Tuesday,Red,Resident,EM2/3,07:00,15:00
Tuesday,Red,Resident,EM3/4,15:00,23:00
Tuesday,Red,Resident,EM1/OS,07:00,15:00
Tuesday,Red,Resident,EM2/3,15:00,23:00
Tuesday,Red,PA,PA,19:00,07:00
Tuesday,Red,Resident,EM1/OS,07:00,19:00
Tuesday,Red,Resident,OS,19:00,07:00
Tuesday,FastTrack,Attending,Attending,09:00,17:00
Tuesday,FastTrack,Attending,Attending,17:00,01:00
Tuesday,FastTrack,PA,PA-Prim,07:00,19:00
Tuesday,FastTrack,PA,PA-Prim,07:00,19:00
Tuesday,FastTrack,PA,PA-Prim,19:00,23:00
Tuesday,FastTrack,PA,PA-Red,19:00,07:00
Tuesday,FastTrack,PA,PA-Prim,11:00,23:00
Tuesday,FastTrack,Resident,OS-Green,23:00,07:00
Tuesday,ERU,Attending,Attending,09:00,17:00
Tuesday,ERU,Attending,Attending,17:00,01:00
Tuesday,ERU,Resident,EM2/3,07:00,15:00
Tuesday,ERU,Resident,EM2/3,15:00,23:00
Tuesday,ERU,PA,PA,23:00,07:00
Tuesday,ERU,Resident,EM1,14:00,22:00
